,Date,Open,High,Low,Close,Volume,target,s_moving_average,varSMA,l_moving_average,varLMA,autocorrelation,varACR,CRTDR,varSTR,delta,rsi,varRSIbinary,varRSItertiary
3739,2000-07-07,146.69,148.78,146.25,148.09,3034500.0,1,145.89333333333335,1,144.50215686274507,1,-0.088099648352760365,-1,0.7272727272727283,1,1.4000000000000057,56.291161178509583,1,0
3738,2000-07-10,147.88,148.91,147.53,147.84,2815200.0,1,146.51333333333335,1,144.52901960784314,1,-0.18121179428905215,-1,0.22463768115942268,-1,-0.03999999999999204,57.385159010600773,1,0
3737,2000-07-11,147.47,149.12,147.16,148.16,5431600.0,1,146.95666666666668,1,144.57627450980391,1,0.17795084494962815,-1,0.510204081632651,-1,0.6899999999999977,55.941043979926555,1,0
3736,2000-07-12,149.28,150.12,148.69,149.12,5883000.0,1,147.26333333333335,1,144.65529411764703,1,-0.17499094678997185,-1,0.30069930069930406,1,-0.1599999999999966,60.559524318774947,1,1
3735,2000-07-13,149.98,150.38,149.19,149.78,5356000.0,1,148.12333333333333,1,144.70862745098037,1,-0.060819275386517657,-1,0.4957983193277349,1,-0.19999999999998863,58.816671524337039,1,0
3734,2000-07-14,150.44,151.25,149.67,151.25,5340400.0,1,149.03999999999999,1,144.8476470588235,1,0.46308948091474778,-1,1.0,-1,0.8100000000000023,57.095238095238216,1,0
3733,2000-07-17,150.98,151.98,150.69,151.0,4208000.0,1,149.52500000000001,1,145.03156862745095,1,0.50383357151168784,1,0.2403100775193831,1,0.020000000000010232,57.050243111831598,1,0
3732,2000-07-18,150.62,150.62,149.34,149.77,4261800.0,1,149.84666666666666,-1,145.18764705882353,1,0.75510854682829776,1,0.33593750000000505,1,-0.8499999999999943,59.518599562363413,1,0
3731,2000-07-19,149.47,149.91,148.25,148.69,8505800.0,1,149.93499999999997,-1,145.28882352941173,1,-0.18479405537175961,-1,0.2650602409638546,-1,-0.7800000000000011,57.032755298651431,1,0
3730,2000-07-20,149.0,150.62,148.81,150.56,4538400.0,1,150.17499999999998,1,145.44784313725489,1,-0.38510086534770704,-1,0.9668508287292805,-1,1.5600000000000023,56.981244417981721,1,0
3729,2000-07-21,149.75,149.75,147.69,147.69,5655900.0,-1,149.82666666666668,-1,145.57294117647058,1,-0.72202804939774046,-1,0.0,-1,-2.0600000000000023,54.243070362473489,1,0
3728,2000-07-24,148.12,148.86,146.56,146.84,5628500.0,-1,149.09166666666667,-1,145.74392156862746,1,-0.70433498182949827,-1,0.1217391304347825,-1,-1.2800000000000011,55.813953488372228,1,0
3727,2000-07-25,147.75,147.84,146.78,147.31,4757100.0,-1,148.47666666666669,-1,145.86019607843136,1,-0.51720543952256104,-1,0.5,1,-0.4399999999999977,58.34862385321118,1,0
3726,2000-07-26,146.97,147.16,145.64,145.88,12062100.0,-1,147.82833333333332,-1,145.92039215686273,-1,0.13573321672124075,-1,0.1578947368421102,-1,-1.0900000000000034,58.133072608449716,1,0
3725,2000-07-27,145.94,146.62,144.69,145.38,7652600.0,-1,147.27666666666667,-1,145.92235294117646,-1,0.41548296280958086,-1,0.3575129533678732,-1,-0.5600000000000023,58.762028608582725,1,0
3724,2000-07-28,145.72,145.91,141.52,142.09,6229500.0,-1,145.86500000000001,-1,145.83215686274511,-1,0.73886455014812458,1,0.12984054669703757,1,-3.6299999999999955,51.161632172456102,1,0
3723,2000-07-31,142.94,144.12,142.06,142.91,5265400.0,-1,145.06833333333333,-1,145.7880392156863,-1,0.76843813527103477,1,0.41262135922329773,1,-0.030000000000001137,52.298504698856675,1,0
3722,2000-08-01,143.62,144.72,143.12,143.88,3946100.0,-1,144.57499999999999,-1,145.7894117647059,-1,0.71197199367157915,1,0.474999999999996,-1,0.2599999999999909,48.249711214906448,-1,0
3721,2000-08-02,143.88,145.41,143.62,144.59,7439800.0,-1,144.12166666666667,1,145.85745098039217,-1,0.4158820234168229,-1,0.5418994413407839,-1,0.710000000000008,44.127534974514838,-1,0
3720,2000-08-03,142.88,145.81,142.62,145.59,4606800.0,-1,144.07333333333335,1,146.01705882352942,-1,-0.89674772396903135,-1,0.931034482758621,1,2.710000000000008,51.819757365684701,1,0
3719,2000-08-04,146.31,146.72,145.41,146.38,3686000.0,-1,144.24000000000001,1,146.18137254901961,1,-0.86807624147056128,-1,0.7404580152671735,1,0.06999999999999318,49.668074834037533,-1,0
3718,2000-08-07,146.72,148.44,146.38,148.12,4159800.0,1,145.245,1,146.34000000000003,1,-0.85889399725185755,-1,0.8446601941747608,-1,1.4000000000000057,49.668074834037533,-1,0
3717,2000-08-08,147.5,148.81,147.5,148.69,3658700.0,1,146.20833333333334,1,146.5450980392157,1,-0.60651074714735831,-1,0.9083969465648822,1,1.1899999999999977,48.325715884712331,-1,0
3716,2000-08-09,149.14,149.22,147.38,147.44,5383000.0,1,146.8016666666667,1,146.73019607843136,1,-0.24906271818842668,-1,0.03260869565217509,-1,-1.6999999999999886,47.665847665847771,-1,0
3715,2000-08-10,147.53,147.86,146.28,146.72,4192800.0,1,147.15666666666667,-1,146.8135294117647,-1,0.0031948510648885519,-1,0.2784810126582242,-1,-0.8100000000000023,46.429996011168818,-1,0
3714,2000-08-11,146.62,148.0,145.56,147.41,5089400.0,1,147.46000000000001,-1,146.91039215686274,1,-0.70308068670010437,-1,0.7581967213114738,-1,0.789999999999992,44.181925575900813,-1,0
3713,2000-08-14,147.78,149.56,147.06,149.28,2966700.0,1,147.94333333333333,1,146.98823529411763,1,0.32028685150128972,-1,0.8879999999999996,1,1.5,45.91390376517726,-1,0
3712,2000-08-15,149.34,149.81,148.56,149.16,5564600.0,1,148.11666666666665,1,147.01411764705884,1,0.87753303344361577,1,0.47999999999999543,1,-0.18000000000000682,50.327200888998647,1,0
3711,2000-08-16,149.31,149.94,147.84,148.62,5191300.0,1,148.10499999999999,1,147.04352941176472,1,0.97524065607829957,1,0.371428571428573,1,-0.6899999999999977,50.627251273133773,1,0
3710,2000-08-17,148.69,150.44,148.34,150.19,5650900.0,1,148.5633333333333,1,147.11647058823527,1,0.3145565380634982,-1,0.8809523809523806,1,1.5,50.767894508271155,1,0
3709,2000-08-18,150.38,150.38,149.22,149.69,4625900.0,1,149.05833333333337,1,147.1598039215686,1,-0.53287476671438905,-1,0.40517241379310365,-1,-0.6899999999999977,50.649999999999991,1,0
3708,2000-08-21,150.03,150.72,149.41,150.56,2380200.0,1,149.58333333333334,1,147.23137254901962,1,0.21078238686129352,-1,0.8778625954198501,1,0.5300000000000011,51.37124331902217,1,0
3707,2000-08-22,150.56,151.31,150.09,150.31,3070300.0,1,149.755,1,147.3043137254902,1,0.5061921048381619,1,0.18032786885245825,1,-0.25,53.798862176546166,1,0
3706,2000-08-23,149.81,151.28,149.28,150.84,5498200.0,1,150.035,1,147.42117647058825,1,0.59723573722155432,1,0.7800000000000011,-1,1.0300000000000011,52.461517748956616,1,0
3705,2000-08-24,151.16,151.55,150.5,151.31,4528500.0,1,150.48333333333335,1,147.49411764705883,1,0.86096660670154979,1,0.7714285714285652,-1,0.15000000000000568,50.975889781859962,1,0
3704,2000-08-25,151.16,151.62,150.94,151.25,2822200.0,1,150.66,1,147.56098039215686,1,0.64004682275085856,1,0.45588235294117524,1,0.09000000000000341,47.916457475650212,-1,0
3703,2000-08-28,0.0,152.91,151.25,151.77,5518700.0,1,151.00666666666666,1,147.63176470588235,1,0.80932952156567572,1,0.31325301204819955,-1,151.77,94.953596287703022,1,1
3702,2000-08-29,151.44,151.88,150.91,151.8,3561900.0,1,151.21333333333334,1,147.73392156862747,1,0.91714641181677814,1,0.9175257731958926,-1,0.36000000000001364,93.823630332837709,1,1
3701,2000-08-30,151.31,151.5,150.34,150.34,3964800.0,1,151.21833333333333,-1,147.77058823529413,1,-0.35512266844556312,-1,0.0,1,-0.9699999999999989,93.932790457621294,1,1
3700,2000-08-31,151.06,153.09,150.91,152.34,4849100.0,1,151.46833333333336,1,147.85686274509808,1,0.24567655548516279,-1,0.6559633027522946,1,1.2800000000000011,93.952557873678202,1,1
3699,2000-09-01,153.25,153.59,152.0,152.5,3191200.0,1,151.66666666666666,1,147.94823529411767,1,0.37533355365768512,-1,0.31446540880503077,1,-0.75,94.276133547164321,1,1
3698,2000-09-05,151.88,152.2,150.81,151.28,3470800.0,1,151.67166666666668,-1,148.05921568627451,1,0.1280355897527411,-1,0.3381294964028802,-1,-0.5999999999999943,94.80570277511589,1,1
3697,2000-09-06,151.19,151.95,149.53,149.56,4322200.0,-1,151.30333333333331,-1,148.16078431372551,1,-0.21794894307283075,-1,0.012396694214876568,-1,-1.6299999999999955,94.626285538759632,1,1
3696,2000-09-07,150.25,151.08,149.83,150.84,4265500.0,1,151.14333333333335,-1,148.25117647058823,1,-0.17188994604093491,-1,0.8079999999999927,1,0.5900000000000034,94.607171862680602,1,1
3695,2000-09-08,150.28,150.5,149.33,149.81,3518200.0,-1,151.05500000000004,-1,148.3423529411765,1,-0.43129091594092872,-1,0.4102564102564059,-1,-0.46999999999999886,95.372129991513987,1,1
3694,2000-09-11,149.75,151.19,148.69,149.59,3937500.0,-1,150.59666666666666,-1,148.42137254901965,1,-0.59319978842027787,-1,0.36000000000000226,1,-0.1599999999999966,95.781393478534866,1,1
3693,2000-09-12,149.75,150.25,148.44,148.5,4769100.0,-1,149.93000000000001,-1,148.50725490196083,-1,-0.37234782748321432,-1,0.033149171270719445,1,-1.25,95.809565598946918,1,1
3692,2000-09-13,148.0,149.34,147.66,148.89,7691600.0,-1,149.53166666666667,-1,148.57372549019613,1,0.051908889119259109,-1,0.7321428571428481,1,0.8899999999999864,95.794086397392789,1,1
3691,2000-09-14,149.88,149.94,148.16,148.47,3397200.0,-1,149.34999999999999,-1,148.59705882352947,-1,0.67100578968728286,1,0.1741573033707877,1,-1.4099999999999966,95.149798500647989,1,1
3690,2000-09-15,148.19,148.25,146.0,146.0,4085700.0,-1,148.54333333333332,-1,148.62411764705888,-1,0.59576770997585438,1,0.0,1,-2.1899999999999977,94.375715238720261,1,1
3689,2000-09-18,146.38,146.97,144.2,144.66,5109300.0,-1,147.685,-1,148.60274509803929,-1,0.53064294524344446,1,0.16606498194946073,1,-1.7199999999999989,94.529659291434783,1,1
3688,2000-09-19,145.12,146.31,144.7,145.97,6588200.0,-1,147.08166666666668,-1,148.56117647058829,-1,0.45737244585929077,-1,0.7888198757763972,1,0.8499999999999943,93.827628401572341,1,1
3687,2000-09-20,145.69,146.03,143.16,144.89,6508100.0,-1,146.47999999999999,-1,148.50333333333342,-1,0.71331732757728572,1,0.6027874564459885,-1,-0.8000000000000114,94.493259508907087,1,1
3686,2000-09-21,144.47,145.56,143.38,143.38,5970300.0,-1,145.56166666666667,-1,148.40960784313734,-1,0.37293245080384935,-1,0.0,-1,-1.0900000000000034,94.136339109059307,1,1
3685,2000-09-22,142.62,145.31,142.42,145.28,7791300.0,-1,145.03,1,148.33431372549026,-1,-0.2389387082142197,-1,0.9896193771626294,1,2.6599999999999966,94.193088706804417,1,1
3684,2000-09-25,145.94,146.06,143.72,144.16,9725300.0,-1,144.72333333333333,-1,148.22411764705888,-1,0.1271045722757331,-1,0.18803418803418678,-1,-1.7800000000000011,94.558797207803835,1,1
